SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52001030,8.60,7.25,8.00,6.50,7.50,5.25
52001031,6.40,7.75,9.00,6.00,5.00,4.00
52001032,8.20,7.00,5.00,6.75,6.75,3.75
52001033,8.00,7.25,9.40,7.25,7.00,4.25
52001034,7.20,6.25,9.00,7.25,6.75,5.50
52001035,7.60,6.75,7.60,6.75,5.00,3.75
52001036,8.00,7.75,9.20,7.00,7.25,5.75
52001037,8.00,8.00,8.80,8.25,8.75,5.75
52001038,6.40,6.75,7.60,6.00,5.50,4.00
52001039,4.00,5.50,6.60,None,None,None
52001040,8.20,8.00,9.20,7.75,8.50,5.75
52001041,3.60,6.25,2.80,None,None,None
52001042,6.60,7.50,6.60,2.50,4.25,4.00
52001043,8.00,7.50,9.40,6.50,5.75,5.75
52001044,7.40,7.00,7.00,5.00,5.75,3.00
52001045,7.60,8.25,9.60,9.00,6.75,5.00
52001046,7.40,6.00,4.40,None,None,None
52001047,8.20,6.50,None,7.75,7.50,5.50
52001048,8.80,8.25,8.40,7.50,8.00,7.50
52001049,8.40,7.50,8.00,7.75,5.75,4.00
52001050,8.80,8.75,6.80,None,None,None
52001051,8.60,7.50,8.20,8.25,8.75,8.75
52001052,7.40,7.50,10.00,6.75,7.50,7.25
52001053,7.60,7.25,5.20,5.25,5.50,6.25
52001054,8.20,7.75,9.00,8.00,6.75,4.25
52001055,3.80,7.25,6.40,None,None,None
52001056,8.40,7.75,9.80,9.25,7.75,5.50
52001057,7.60,6.50,9.40,5.50,6.00,6.00
52001058,8.00,7.25,7.80,7.50,4.75,4.25
52001059,4.60,4.25,3.80,None,None,None
52001060,6.80,6.75,4.60,5.25,6.00,4.50
52001061,8.60,8.25,10.00,7.00,8.00,4.25
52001062,7.60,7.75,7.40,7.25,8.00,4.25
52001063,5.60,8.00,7.40,4.75,4.00,4.50
52001064,7.60,7.25,None,None,None,None
52001065,8.40,7.50,9.60,7.50,8.50,4.25
52001066,8.20,6.67,8.00,None,None,None
52001067,8.00,7.50,9.00,6.00,6.50,3.75
52001068,7.80,7.50,7.60,6.25,7.50,3.50
52001069,7.40,6.50,6.40,3.50,8.25,7.75
52001070,7.80,8.00,9.40,None,None,None
52001071,8.40,7.00,7.80,7.75,7.50,5.50
52001072,6.80,7.75,8.00,None,None,None
52001073,8.80,6.75,8.80,8.00,7.75,6.75
52001074,8.40,7.75,7.60,8.25,8.00,6.75
52001075,7.40,8.75,8.80,None,None,None
52001076,8.00,7.50,9.60,8.25,6.75,4.50
52001077,7.40,6.50,8.80,6.25,8.50,5.75
52001078,8.00,6.00,9.60,8.50,5.50,5.25
52001079,8.00,7.75,9.00,7.25,8.50,5.00
52001080,6.00,8.00,7.20,None,None,None
52001081,7.60,7.50,8.40,7.25,6.25,6.25
52001082,8.60,6.75,6.80,8.75,7.75,4.00
52001083,8.00,8.00,7.80,7.50,5.25,4.75
52001084,8.00,8.00,9.00,None,None,None
52001085,8.40,7.75,8.80,8.50,5.25,4.75
52001086,8.80,8.25,8.80,8.00,7.50,5.75
52001087,8.40,8.75,8.20,None,None,None
52001088,7.20,6.50,6.00,None,None,None
52001089,8.20,8.00,6.20,None,None,None
52001090,7.40,7.00,7.20,7.00,5.50,3.25
52001091,8.60,6.75,8.00,8.00,8.25,4.75
52001092,8.20,7.50,9.00,8.00,6.25,5.00
52001093,9.00,8.25,5.80,6.50,8.25,6.50
52001094,8.60,5.50,9.40,7.75,4.75,5.50
52001095,9.00,8.00,7.00,6.50,8.00,8.50
52001096,6.60,6.75,8.00,6.75,2.75,3.50
52001097,8.60,9.00,9.00,7.00,7.25,5.50
52001098,8.00,6.50,6.80,8.00,5.25,3.50
52001099,8.40,7.50,9.20,9.00,5.50,4.50
52001100,8.40,8.00,9.20,6.00,8.50,5.50
52001101,8.80,6.75,9.40,8.50,8.25,5.75
52001102,6.60,7.25,7.20,7.00,5.75,4.25
52001103,9.40,9.00,9.20,7.50,8.00,5.25
52001104,8.00,7.00,6.40,9.25,7.00,4.50
52001105,7.60,7.25,4.60,None,None,None
52001106,7.60,6.75,8.80,8.50,5.25,5.25
52001107,7.40,6.50,8.80,5.00,5.75,4.25
52001108,7.80,7.75,7.80,6.00,6.00,4.75
52001109,9.00,8.25,6.60,5.75,8.00,7.00
52001110,8.40,7.00,7.60,8.25,6.75,3.50
52001111,8.80,9.00,9.00,8.75,7.50,6.25
52001112,6.20,8.00,7.00,None,None,None
52001113,6.00,5.25,9.60,4.25,4.50,3.00
52001114,5.00,4.50,2.60,None,None,None
52001115,6.20,7.75,6.40,None,None,None
52001116,7.20,5.50,8.20,5.25,7.50,3.00
52001117,9.00,7.25,7.80,8.00,7.75,4.50
52001118,7.80,8.25,6.60,None,None,None
52001119,7.40,6.50,7.80,6.50,6.00,4.75
52001120,7.60,7.00,7.20,7.25,7.00,5.25
52001121,8.80,7.25,8.20,8.00,6.75,4.25
52001122,7.80,4.00,8.20,8.00,6.25,5.00
52001123,8.20,5.00,8.00,8.00,6.25,4.25
52001124,6.40,8.50,8.40,None,None,None
52001125,8.80,8.50,8.80,8.75,8.00,6.50
52001126,7.60,7.50,9.40,7.25,7.50,5.25
52001127,7.80,7.50,9.00,7.75,8.00,6.50
52001128,8.60,6.75,9.00,8.50,8.25,5.50
52001129,7.00,8.50,6.40,None,None,None
52001130,7.20,8.75,6.40,6.50,4.50,3.50
52001131,8.00,7.75,8.80,None,None,None
52001132,8.00,8.25,9.40,None,None,None
52001133,5.40,8.25,5.20,5.00,4.75,4.25
52001134,6.40,6.75,5.60,5.00,6.75,7.25
52001135,8.20,7.75,5.40,5.75,8.00,8.25
52001136,5.60,7.75,4.20,4.50,6.00,4.75
52001137,8.60,6.00,4.60,3.00,7.25,6.75
52001138,8.20,8.00,8.00,None,None,None
52001139,7.40,7.75,None,None,None,None
52001140,6.00,7.50,6.20,None,None,None
52001141,7.60,7.75,6.80,6.00,6.00,4.50
52001142,5.20,6.25,4.00,None,None,None
52001143,8.00,8.50,8.40,7.50,6.75,6.00
52001144,8.40,8.00,6.80,6.00,6.00,5.50
52001145,7.20,8.00,5.80,None,None,None
52001146,6.20,7.50,9.00,None,None,None
52001147,8.40,8.75,None,6.75,8.00,8.50
52001148,8.00,8.25,8.40,None,None,None
52001149,8.20,7.75,8.40,7.00,8.50,5.50
52001150,8.00,8.25,6.80,7.50,7.50,5.75
52001151,8.20,7.00,7.00,5.75,5.25,3.75
52001152,7.40,8.00,9.00,6.75,6.50,4.25
52001153,6.60,6.50,4.60,None,None,None
52001154,7.80,8.00,7.00,7.50,8.25,4.50
